iter	Logloss
0	0.6661758423
1	0.6449203491
2	0.6271870791
3	0.6075843979
4	0.5940592001
5	0.5782674852
6	0.5682464013
7	0.5554723216
8	0.5445758275
9	0.5348927844
10	0.5268667871
11	0.5209576533
12	0.5143112769
13	0.508827964
14	0.5023916056
15	0.4968274295
16	0.4923952124
17	0.4869858878
18	0.4827173673
19	0.4786912688
20	0.475378309
21	0.4722032652
22	0.4686322893
23	0.4657567202
24	0.4636362097
25	0.462891673
26	0.4606312343
27	0.459042895
28	0.4564096639
29	0.4545475467
30	0.4526398208
31	0.4512917236
32	0.4494442363
33	0.4479325682
34	0.4464741801
35	0.445263412
36	0.4440291688
37	0.4427172483
38	0.4417260977
39	0.4407374623
40	0.4399782118
41	0.4389572144
42	0.4379461519
43	0.4373614971
44	0.4364762359
45	0.43548366
46	0.4350170932
47	0.4345626831
48	0.4337529612
49	0.4329058888
50	0.4323626508
51	0.4316595727
52	0.4310229375
53	0.4303953569
54	0.4298304044
55	0.4291858463
56	0.4286132226
57	0.4282274351
58	0.4278325511
59	0.4272547292
60	0.4266931722
61	0.4262987493
62	0.425679385
63	0.4253271333
64	0.424854069
65	0.4244815701
66	0.4241028251
67	0.4233999567
68	0.423289037
69	0.4227347741
70	0.4223710364
71	0.4219954774
72	0.4217142797
73	0.4213585487
74	0.4210970114
75	0.4207193982
76	0.4203941848
77	0.4199023404
78	0.4195973742
79	0.4191855965
80	0.4186491914
81	0.4183802343
82	0.4181614132
83	0.4177688766
84	0.4173020164
85	0.417105287
86	0.4167634733
87	0.4165280939
88	0.4162896125
89	0.4158807272
90	0.4155729944
91	0.4153806246
92	0.4151064695
93	0.4146979615
94	0.4144573421
95	0.4142370538
96	0.4140246884
97	0.4136488359
98	0.4129877195
99	0.4124777238
100	0.4123075716
101	0.4122603699
102	0.4119909936
103	0.4113698687
104	0.4111263569
105	0.4109127338
106	0.4107698713
107	0.4104809604
108	0.4102432754
109	0.4098666684
110	0.4097198654
111	0.4093213763
112	0.4091038128
113	0.4089862698
114	0.4085848043
115	0.4084396362
116	0.4081667387
117	0.4078938411
118	0.4077732799
119	0.4074120155
120	0.4072496184
121	0.4068781255
122	0.4066912473
123	0.4063895089
124	0.4060800573
125	0.40601701
126	0.4057616349
127	0.4055393345
128	0.4053470486
129	0.4051506126
130	0.4049093226
131	0.4047286903
132	0.4045408899
133	0.4042596503
134	0.4040648911
135	0.4039724161
136	0.403503376
137	0.4032739912
138	0.4031052642
139	0.4030163524
140	0.4028246115
141	0.4025711227
142	0.4023606856
143	0.402186509
144	0.401967143
145	0.4019184322
146	0.4017489926
147	0.4015570001
148	0.401211246
149	0.4009502537
150	0.4007068676
151	0.4004615113
152	0.4002711956
153	0.4000594171
154	0.3997026381
155	0.3995741121
156	0.3993821197
157	0.3992328015
158	0.3990997482
159	0.3989280449
160	0.3987846375
161	0.3984764015
162	0.3983756264
163	0.3982265598
164	0.3979479612
165	0.3977118691
166	0.3973692171
